par_id,rmse,nse,r,re,mae,LL
p0001,2.36141904777092,0.589981471463461,0.823196896398181,-0.0753578133687118,1.7616697036413,52448.6629551864
p0002,2.73033733981794,0.451861918236804,0.930047703303085,-0.212277555959732,2.27499988228866,68120.7138612222
p0003,2.53664085871094,0.526875622210067,0.840403540816424,-0.13028135022069,1.85211902356127,59609.1124271365
p0004,2.13837541172389,0.663778669318854,0.850724376575096,-0.0603381548016542,1.59493378438748,44075.0951692076
p0005,2.26049487959034,0.624279913304686,0.822732012040436,-0.0286433809964051,1.74243640231786,48556.911831062
p0006,2.89777051350325,0.382573399125653,0.868802537026479,-0.202243077679719,2.29802853138699,75982.6941047567
p0007,1.45149878792274,0.845085983681928,0.928821480271439,-0.0341671848585662,1.07679658089813,23502.6462005097
p0008,2.14492425004288,0.661716140212421,0.890887647005634,-0.116640886276714,1.59421330475735,44309.1247500748
p0009,2.61256289731183,0.498130424708511,0.860243070917998,-0.158673962677519,1.98218529704715,62870.7519852168
p0010,2.55460449698762,0.520150879281643,0.797966307507501,0.0386903554941269,1.95857176075105,60372.1507590903
p0011,2.26957309353911,0.62125604765959,0.838043317486346,-0.0747454056514548,1.67876053972782,48900.0216603067
p0012,2.75047506397864,0.443746466790507,0.885642683961555,-0.190879484803088,2.14974361989118,69041.5521148988
p0013,2.89899355950722,0.382052101464193,0.846693331504742,-0.187971519404104,2.23049844780608,76041.8443358192
p0014,2.23049818105794,0.634185340290648,0.828790582590938,-0.0222634364027642,1.68959033257146,47432.9699101432
p0015,1.39741909296344,0.856414460569127,0.939197689427543,-0.0488055332358374,1.05109284163281,22217.2346688586
p0016,1.76738344987737,0.770322249292615,0.889543880687246,0.0100163005715243,1.32488543936442,31985.8842642173
p0017,2.8652811516617,0.396340771291696,0.840930292475316,-0.178753850861741,2.16578445829398,74420.5477439551
p0018,2.3997582694626,0.576559540312143,0.819926122176983,-0.081218679367663,1.79254245064094,53971.6130614293
p0019,1.96385864173206,0.716418557787082,0.867665378190218,-0.0388216277184442,1.48036587182279,38102.189867318
p0020,2.34553479492829,0.595478956926782,0.816347957956327,0.0193225820186311,1.81924257258901,51824.8781975353
p0021,2.12435175108864,0.668174149118949,0.845120700672632,-0.0412287826565086,1.6134845559697,43576.3520037812
p0022,2.67208223754695,0.475002785871197,0.854154002940024,-0.162243423886781,2.01971164403966,65494.982405366
p0023,1.60409173703263,0.810802339437482,0.919318315193044,-0.0545195410946076,1.18354098726657,27392.718281482
p0024,2.47673026964614,0.5489602866077,0.917617200436595,-0.17674292451867,1.96355231598098,57103.2254864624
p0025,2.1265810242561,0.667477354345596,0.853474633184451,-0.0628886703270425,1.59372121127628,43655.4154159044
p0026,1.85446473491502,0.747131625530552,0.87910450201072,0.0170607056332015,1.40556781514575,34617.2614128629
p0027,1.34467680722176,0.867048516626464,0.98377073690434,-0.104413849830705,1.14396746903724,21010.6171844049
p0028,2.68299459233207,0.470706021461023,0.91675893181709,-0.201290652872654,2.19004662267577,65982.5246033702
p0029,2.50586460573832,0.538286511170305,0.876277964431237,-0.155646940179608,1.89461249025394,58314.3498211896
p0030,1.95657513347483,0.718518136193948,0.869987833860183,-0.0397042346895766,1.45882799834242,37863.9564028669
p0031,2.94587697177625,0.361903195627833,0.857590903153262,-0.199146013142216,2.2839974122923,78328.0860053833
