par_id,rmse,nse,r,re,mae,LL
p0001,3.30545850805596,0.196620438707323,0.923853123883933,0.192627454942698,2.41272779590371,97082.2719250077
p0002,1.73910526547297,0.777613152395528,0.913067773118546,-0.0813272436632942,1.2980839156647,31158.6052735857
p0003,2.38824617840419,0.580612442474534,0.95673956667585,0.141364683326523,1.80035757902047,53511.741250941
p0004,3.86208420769441,-0.0967328102567144,0.945037471653368,0.272063567445164,3.08347684698074,130368.26904716
p0005,1.90742899923303,0.732481315129557,0.947706627247298,0.0699670990901989,1.26661188167871,36279.5923792601
p0006,1.78523729877526,0.765658469230626,0.956803188334077,0.083161711399857,1.32319533089388,32515.0707323063
p0007,2.19482362789967,0.645793430079832,0.904328858572047,-0.162944769367621,1.75171687903249,46115.8314612562
p0008,2.19391819184264,0.646085613236628,0.926472850178187,0.0745858636680691,1.46065841464744,46082.6782313172
p0009,1.35967768183089,0.86406562442871,0.96682328999127,0.0512135163833716,1.04915933127737,21349.0778677645
p0010,3.50698054026726,0.0956759709906294,0.914191877752068,0.204212945038299,2.52736201316417,108536.166755833
p0011,1.82842061757998,0.75418432213299,0.934242809765423,0.0303491278524698,1.13269262538716,33817.0110674476
p0012,1.56963750301181,0.818842594588297,0.967723554450489,0.0740025119356147,1.1582824640774,26480.4123474024
p0013,1.16956311361605,0.899421608886851,0.95941471476946,-0.00119243131350013,0.90363390806677,17337.3302526263
p0014,1.7981250185709,0.762262809486485,0.914672064783161,-0.103097907535835,1.40142913381577,32900.3670290763
p0015,1.82777351258551,0.754358286923134,0.943291109874816,0.0520086577888541,1.17868616808521,33797.2717547775
p0016,4.12665639314333,-0.252143133221025,0.913638903813648,0.264477427595446,3.09822877791229,148002.256675423
p0017,2.7579971388479,0.440699791483947,0.920900593087494,0.127977060560783,1.88768459888408,69387.250094534
p0018,2.57532940297098,0.512333490757638,0.924301713610238,0.112094478327294,1.7540657143753,61259.1686217924
p0019,3.82891800008713,-0.0779769879493837,0.925275397689321,0.246436463666588,2.90968577362296,128240.096785389
p0020,1.67279643231715,0.794248246203168,0.94472991252563,0.0410545487571221,1.15270729088829,29271.066319907
p0021,2.04444726540756,0.69266700780358,0.959028876219518,0.112902240209632,1.54171756701809,40797.2137921915
p0022,2.04730094755969,0.6918084454153,0.926290425620397,0.0488948375817306,1.28189125801108,40894.6325366112
p0023,1.22468755126071,0.889717153957955,0.963335192980811,0.00664625262099872,0.826052340532076,18438.4684195838
p0024,2.02398580105198,0.698787991820542,0.92829321794784,0.0522159198360429,1.3022009144027,40102.6823455727
p0025,2.055161347424,0.689437363291197,0.961728670815152,0.133938191998436,1.59538400650694,41163.6727911098
p0026,1.94030621614633,0.723179716751169,0.926213041552308,0.035136977293826,1.24161247813091,37335.0195066154
p0027,1.45054925300837,0.845288599288717,0.937746504203263,-0.0577575135870586,1.09480375344605,23479.6559574212
p0028,4.44579387438139,-0.453302447260403,0.920730806913017,0.302573616308564,3.44453578754992,170827.258177382
p0029,1.67208722302959,0.794422672832855,0.927705619725514,-0.0221941221671697,1.14758157799094,29251.2746035572
p0030,1.65537504303908,0.798511545650046,0.937178903130483,-0.115368628958765,1.34463699145957,28787.3213004781
p0031,1.63743001507252,0.802856322925982,0.921204648000566,-0.0491074661686768,1.18837750396378,28294.3312128827
p0032,1.82613604431208,0.754798221448512,0.928613285440979,0.0302962328347523,1.25116666149698,33747.3535779809
p0033,1.50844261982265,0.832692678006822,0.968126023231173,0.0713377130780179,1.10505115389916,24908.8809652254
p0034,4.08395160272362,-0.226361568528195,0.924703464510432,0.271316597608272,3.15392587236261,145076.892490091
p0035,2.37971060342596,0.583604861797409,0.943026950217557,0.118366508781663,1.68200217743363,53172.1995505466
p0036,3.3726021210026,0.163650934002641,0.943113968403117,0.221694689796442,2.61223712254008,100823.232158427
p0037,2.01783398842044,0.70061624949057,0.944549446087812,0.0814730035741242,1.38597854683047,39895.2349088799
p0038,1.58622948138687,0.81499247497936,0.925714647195869,-0.031349602053157,1.1494253232994,26917.2749718172
p0039,1.56731772168415,0.819377667206391,0.930954134346668,-0.00739594006763972,1.14257397275701,26419.6991093903
p0040,2.03851285905794,0.694448606055009,0.898150540236017,-0.130171670888505,1.55418668296965,40595.0606731131
p0041,0.990145465446832,0.927913263542586,0.97123557408656,-0.00679708908027841,0.742729559496494,14104.4595132523
p0042,1.7501152050692,0.774788462953393,0.925362400995763,-0.00313736939154555,1.16465685723085,31479.1151195612
p0043,3.430557165887,0.134660197766131,0.937897997204059,0.221539796575553,2.64226146045476,104112.732330473
p0044,1.4438605105193,0.846712113638538,0.967323130940914,0.0685975197271067,1.13141082135012,23318.1336469685
p0045,1.70970858863867,0.785067769666688,0.919129902935335,-0.00539346270460175,1.23641165638785,30312.7500805348
p0046,2.20793802271376,0.641547911090254,0.925736030953723,0.069648239018428,1.41445571420354,46597.558980444
p0047,2.16239507693043,0.65618292083898,0.923675234569197,0.057603640496759,1.35054405962106,44936.9641375402
p0048,1.67042034445159,0.79483234241894,0.92381770531336,-0.032918168657215,1.17522568515839,29204.7905072957
p0049,1.57795741620035,0.816917043751235,0.954317511420189,0.0446502398078221,1.08031491105109,26698.8993757458
p0050,2.63531525644698,0.489350970139729,0.942841347979686,0.146955938299631,1.94887167747805,63866.9328713756
p0051,1.39789227061257,0.856317205606588,0.944519231350516,-0.0600278333051242,1.07346583507751,22228.2699255488
p0052,4.75226191610867,-0.660573470486241,0.916359511792468,0.327265407642807,3.69888631795639,194345.738736111
p0053,1.92153184107695,0.728510817702562,0.907763916858991,-0.120969017444061,1.49776085336405,36730.113948035
p0054,2.72482032701572,0.454074853236395,0.92629623944801,0.135338086299117,1.94443196853352,67869.6181317969
