par_id,rmse,nse,r,re,mae,LL
p0001,2.81862129619628,0.416097861595324,0.854485530744379,-0.195445249746256,2.13961442081332,72007.8488872555
p0002,1.95175653602212,0.720025877149304,0.935300340379798,-0.144535734996616,1.48749606203661,37602.3822241774
p0003,1.7424723368138,0.776849228856435,0.939446294373557,-0.137018338812885,1.50091553466587,31169.8263793976
p0004,1.44648401019323,0.846222115421243,0.978801922791117,-0.139192191576766,1.24160860718453,23316.629523963
p0005,3.4509038624635,0.124749577476362,0.949313466014225,-0.314432453542774,3.10815383769029,104989.25620612
p0006,2.93542013561923,0.366703415461944,0.940953521762594,-0.281775775612361,2.629242128247,77599.4326926694
p0007,1.35551731547773,0.86495554789325,0.953513022791909,-0.0869748275094645,1.17550451867679,21195.954714746
p0008,2.89015421190036,0.386084440576538,0.959519250357573,-0.260420583444027,2.58289031255295,75405.4486591113
p0009,3.2113830673317,0.242032064140936,0.929285387619065,-0.27635558436218,2.79903888891939,91712.5640994515
p0010,1.34222576737159,0.867590924963965,0.954033403078181,-0.0852008451168148,1.14752631907839,20897.6229608079
p0011,2.19350236703721,0.646375112192847,0.947260062954886,-0.206123829285997,1.89112225749511,45939.8463891731
p0012,2.12204072069556,0.669041122519578,0.942008269983967,-0.193649319636941,1.86212737962232,43373.9932174611
p0013,2.02680533256375,0.69808083313342,0.945292975279609,-0.184100235070465,1.76973824886471,40086.6200754728
p0014,3.07634763909549,0.304435466252719,0.944238587564095,-0.295224648005769,2.78144489491644,84648.3315800961
p0015,2.42524613150939,0.567706954464611,0.964838581119866,-0.235799446512587,2.19686538636229,54845.2928753458
p0016,1.54286949184201,0.82504555094809,0.967060278577304,-0.141037738171091,1.33611669865708,25713.8734295357
p0017,1.63719238135341,0.803000085405148,0.939426701519563,-0.117728317207712,1.40568930042465,28209.4792670799
p0018,2.60384189745947,0.501694329275329,0.932732983961998,-0.245044094885139,2.28116408932605,62318.0991289987
p0019,1.61127425235917,0.809188062040526,0.939483061335271,-0.112691395808101,1.39531618692177,27508.9837123929
p0020,1.58005876678045,0.816509709753791,0.971965341993967,-0.150393950768153,1.37724315658501,26680.1535505588
p0021,2.23464166125359,0.632986203411276,0.933527156449903,-0.202068224815422,1.91631643383745,47455.5067796761
p0022,3.04440747533528,0.318803877526174,0.938493948788331,-0.288205999165708,2.7238655369911,83021.7888799466
p0023,2.83403704230074,0.409693381309182,0.933976557473689,-0.270373456189299,2.50848453990138,72732.8532359911
p0024,1.04635463107007,0.919531777243289,0.973737032784918,-0.0746425700548446,0.880306788925455,15017.779148809
