par_id,rmse,nse,r,re,mae,LL
p0001,1.91995976594143,0.78969523979079,0.969478779548612,-0.133113168266461,1.51275999258831,19695.9124148904
p0002,1.92206631779036,0.789233499992177,0.955843863027648,-0.11314013295245,1.48106785733022,19732.1709685238
p0003,1.30574515411017,0.902729378053174,0.961294725798154,-0.0503451857042696,1.05144941176098,10819.7999877148
p0004,2.13913890949744,0.738938504306649,0.959808322789021,-0.137042797278627,1.64600744269136,23681.6329902785
p0005,3.84144290171086,0.15811337126696,0.826333600255218,-0.260800951959437,2.99552829294058,69291.4749428238
p0006,3.82936180936406,0.163400403736817,0.853734796406187,-0.262687477735896,3.03998139785968,68876.3057264261
p0007,1.75860990796657,0.823557225408055,0.940163190155737,-0.0758191968181971,1.30319810672748,17036.8680238184
p0008,2.05634451469199,0.758755955295739,0.96633361069618,-0.150155253258531,1.64513161745446,22125.4489408997
p0009,1.42003598281014,0.884956113280058,0.940958263048081,0.029836773569871,1.10809722211351,12215.462384485
p0010,1.80028720217536,0.815095093409952,0.962081008065394,-0.10593442875354,1.40722403721385,17701.364928412
p0011,1.55355507801813,0.862305004254522,0.967373580071025,-0.0942439916897447,1.21589968860759,13994.1621065475
p0012,1.86777507037979,0.800972083714953,0.912890628945283,-0.0416494485135182,1.36032304283276,18810.387598819
p0013,2.29007638976853,0.700797797733014,0.93668456679479,-0.139594880534473,1.69359399282127,26676.6679841637
p0014,1.99927956391419,0.771959543988157,0.966587521657053,-0.14478545464565,1.59276446745847,21088.6246727831
p0015,1.2376201361095,0.912614458712498,0.955416176399804,0.0130803792713133,0.994806035632958,10043.5646960351
p0016,1.93373594178832,0.786666437366399,0.966365553896666,-0.137003679369214,1.52844959059648,19933.7519848811
p0017,1.23353020396921,0.913191065987314,0.955919368541604,-0.00121445514762571,0.994336103113096,9998.28606538191
p0018,1.99327385912872,0.773327523407282,0.966734098046595,-0.144618209499439,1.58858199545438,20981.2027973313
p0019,1.25013303401959,0.910838511565446,0.95887788970263,-0.0301444485887865,1.0171620775785,10183.0226225013
p0020,1.42469264866034,0.884200358737318,0.940865607488601,0.0334514778938935,1.11017068634727,12274.8087234923
p0021,1.46870555190568,0.876935066777119,0.937648589053875,0.00302675965744825,1.1354387095105,12845.3226341242
p0022,1.45084964539601,0.879909220700395,0.942921467749629,-0.0119543580656722,1.13682991516536,12611.7743892794
p0023,2.04679417852366,0.760991584134572,0.901398654083849,-0.0695715577562989,1.37844835828393,21949.8940755823
p0024,1.60780866186883,0.852519848412022,0.951128330460732,-0.0676560970907924,1.24002963264447,14762.5507076429
p0025,1.98704433754447,0.774742135395535,0.913473824440497,-0.0655900142624752,1.43315697784629,20870.1190553611
p0026,1.2780954603755,0.906805253394675,0.952755117842361,0.0281214992044202,0.99554040899762,10499.738028324
p0027,2.43217821939181,0.662514096695211,0.963432417067304,-0.182927205985019,1.99517745196383,29682.9317533546
p0028,1.75425631404973,0.824429743369555,0.968216537688467,-0.118703982890064,1.37980355959185,16968.352727112
p0029,2.8925025102961,0.522677027712689,0.962274760909018,-0.215161004899754,2.40827954529964,40663.7696210647
p0030,2.00482915488726,0.770691799639685,0.970172523459505,-0.139275014088028,1.58819545369189,21188.1754946758
p0031,1.9124088788988,0.791346175263226,0.939860749811316,-0.096872325465965,1.40285453372359,19566.2711482021
p0032,2.67346609407482,0.592230997868821,0.963148536628734,-0.196479151650502,2.20134746724757,35201.9784458257
p0033,2.4831317183987,0.648225493767471,0.967274889395689,-0.182643536539884,2.04032420457618,30804.9577887058
p0034,3.24848850766933,0.397956992484958,0.820845124063467,-0.184550061668485,2.22700680648439,50457.5281405742
p0035,3.36492037819822,0.354026902135813,0.751051835067543,-0.136917929980162,2.19969146497365,53907.1799614237
p0036,3.6633981310001,0.234345064696406,0.85927920575601,-0.247386819277867,2.873556445731,63305.3092428379
p0037,2.23113877849672,0.716000211660139,0.964732995362314,-0.151081646907434,1.75955296261811,25482.8840773196
p0038,1.26625131394984,0.908524526687723,0.953250234869353,0.0200593181578507,1.00560940291141,10364.7304697516
p0039,2.94513305919693,0.505148730598254,0.782520632951975,-0.0806601957404709,2.00942025168715,42040.1957011531
p0040,1.55701808385415,0.861690452459876,0.948796812785512,-0.0474185552516828,1.20469335736612,14042.4203664454
p0041,2.16858406981413,0.731702038115632,0.972207395320623,-0.156192143946624,1.75378762832702,24249.8833301698
p0042,2.15370634380621,0.735370764704723,0.868479783027277,0.0192980759499459,1.48635205567529,23961.7931109676
p0043,2.41468378480341,0.66735164609704,0.96422475631483,-0.182961127500114,1.98615969494035,29303.0586192491
p0044,1.78531504361115,0.818157842195709,0.967568052995852,-0.122641980968904,1.40525853775137,17460.8596883449
p0045,1.86326363892107,0.801932388218744,0.898649460662424,0.0145780966635358,1.35563580209332,18734.9787809963
p0046,1.47350678552007,0.876129147215055,0.940422587643815,0.0546884116368722,1.1399148164365,12908.6082286366
p0047,1.50925574330064,0.870045739687786,0.96777572698395,-0.0851048305220322,1.18354814381441,13386.3135483077
p0048,1.57025080597862,0.859329543368634,0.969638961583904,-0.0949365502036238,1.23400734814113,14227.8129818653
p0049,2.11355200279048,0.745146429171997,0.884480872255718,-0.0474133639007918,1.48470777171457,23194.149829073
p0050,2.3053647391297,0.696789567564393,0.965550202427359,-0.174446635767845,1.88829258032119,26991.4180424876
