datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
-12353	10.525242	0	6.0704895	21.230453	8.119653	305.08087	0.00086413147
-12352	11.030317	0	3.2000366	78.437475	6.0417293	276.50458	0.0002751718
-12351	6.6028572	0	5.6090332	47.53661	7.9847949	308.845	0.00063005566
-12350	9.5752613	0	6.725061	102.89336	7.7399906	293.45923	0.00024967877
-12349	7.5997214	0	5.0818726	102.98762	5.4009586	274.50784	0
-12348	4.6245439	0	4.0560547	98.854729	5.9348692	275.51413	0.0004495012
-12347	6.4247841	0	3.455072	118.05582	5.3902888	271.51593	2.8682673e-05
-12346	5.2775883	0	1.9633423	122.66853	5.1627886	255.72141	1.2732943e-05
-12345	6.4202955	0	1.0803162	82.628669	4.485777	272.25903	2.1629534e-05
-12344	8.0427012	0	0.98824463	71.340841	4.3683907	276.38797	9.9948973e-06
-12343	7.6335397	0	0.9117981	96.238877	4.4880591	274.54803	3.3338525e-05
-12342	4.7958964	0	2.5570313	109.8126	5.1360138	269.07602	0
-12341	4.3532346	0	2.2373901	96.288454	5.5226213	264.92514	0.0002182229
-12340	4.5408494	0	1.6452271	141.82672	4.5569464	252.53441	2.4065613e-05
-12339	3.3187522	0	1.5043884	132.36593	5.0273414	253.34053	0.00035919022
-12338	2.8987463	0	2.9653259	150.52876	4.4647777	262.06415	0
-12337	6.874518	0	5.4368835	16.685789	7.8879721	311.93188	0.0010156492
-12336	6.3268643	0	6.2219788	59.245503	8.9897677	308.37311	0.00023939522
-12335	8.0742385	0	4.0821167	75.133513	6.5907989	292.42004	0.00021950764
-12334	8.1672971	0	3.9517151	90.766726	6.608119	283.01672	0.00035954292
-12333	9.4632641	0	3.4892822	131.50027	5.9579333	270.71158	0.00012852484
-12332	10.407623	0	3.6737	151.35833	5.1427522	268.24487	5.9314911e-05
-12331	5.4114071	0	4.9135071	82.883202	6.643642	288.56003	6.2784999e-05
-12330	6.721918	0	5.4837891	105.99749	7.2956092	296.06824	9.4297039e-05
-12329	6.2780099	0	4.3383728	118.23024	6.6358098	282.03287	0.00014250143
-12328	4.9634266	0	2.7136169	149.94349	5.97038	264.64648	0.00015175609
-12327	4.057945	0	2.6042114	167.1775	5.1853311	260.70163	2.7676069e-05
-12326	4.5415552	0	3.7056213	162.18065	5.6306437	275.51282	0
-12325	4.580457	0	4.3695618	155.28393	6.221338	274.38861	6.9708582e-05
-12324	3.1387436	0	4.5325562	136.07807	7.1471295	298.02017	0.0001447402
-12323	6.2508315	0	4.2402588	142.59051	6.855864	286.82401	0.00026064354
-12322	5.700519	0	3.6944824	105.63009	6.8886308	290.38232	0.000185452
-12321	3.451794	0	4.2085205	165.26678	6.5962388	278.95438	6.1724649e-05
-12320	5.1287783	0	4.0063721	91.712845	6.5614343	295.41455	0.00016131976
-12319	3.9544327	0	6.4731995	124.07368	8.2015533	307.23489	0.00022984831
-12318	4.4702	0	7.014032	70.411345	9.4707923	318.0968	0.00037070866
-12317	4.1424107	0	7.4564148	169.3184	7.1589856	293.32016	4.2736276e-05
-12316	5.262519	0	6.8192993	72.064313	8.4812024	305.86237	0.0003770761
-12315	2.837606	0	7.6086365	218.46212	7.2026118	274.52945	0
-12314	3.0331	0	8.3360535	189.92324	7.4895259	290.96112	0
-12313	3.0127214	0	8.3459717	162.43187	9.1489517	309.6702	5.6770859e-06
-12312	3.7625539	0	8.4202209	154.87633	9.570083	319.44681	3.7060755e-05
-12311	6.722499	0	8.0296875	56.605108	9.8763656	325.20285	0.00027389008
-12310	6.1639347	0	7.7327209	166.96825	7.7611131	303.37405	2.718614e-05
-12309	6.2485142	0	8.0136047	152.71127	8.6751081	311.59402	6.2171058e-05
-12308	7.5728484	0	7.6787659	51.242052	9.0015644	321.36572	0.00036486985
-12307	7.5376368	0	7.0960327	113.70241	9.0288481	314.95306	0.00028751759
-12306	8.1887936	0	6.3749023	190.15057	7.2476672	289.60315	3.4062925e-05
-12305	7.2739563	0	6.6090942	153.51555	7.9652351	298.34088	7.5142806e-05
-12304	5.3337969	0	7.4624268	205.18794	6.7877691	278.48169	0
-12303	4.6053861	0	7.8558594	112.0805	9.3166743	312.00266	2.8876131e-05
-12302	7.4794975	0	9.170343	110.88122	10.627204	335.63098	9.9519639e-05
-12301	7.9915376	0	8.4970642	141.61987	9.5223342	328.63892	4.9147184e-05
-12300	6.6261933	0	5.5918518	174.32944	5.761651	295.31195	2.8268316e-05
-12299	5.29661	0	3.7028748	167.38687	6.2739911	287.79108	0.00024641923
-12298	5.8880698	0	2.6273438	226.55098	5.3467717	256.22208	0.0002105406
-12297	4.7267339	0	2.6550537	213.46761	5.5531199	258.6543	8.8273771e-05
-12296	4.2573568	0	3.3677612	215.45696	5.4456671	259.49133	4.0290008e-05
-12295	4.7743104	0	4.5821167	229.67896	5.4659397	268.11142	0
-12294	4.9278281	0	5.3453918	99.424454	6.6412223	294.12997	0.00019351875
-12293	4.2774765	0	7.2942749	49.767518	9.7022852	329.98856	0.00061438989
-12292	3.8936628	0	7.3374573	45.157705	9.6580106	320.63663	0.00062387019
-12291	3.068759	0	7.7896362	222.73308	7.454012	297.1203	4.3663531e-05
-12290	7.3623717	0	9.5354248	36.187625	11.386572	346.68588	0.00068102172
-12289	6.6402548	0	11.062128	71.343739	12.50198	354.3692	0.00015276038
-12288	6.0233301	0	10.577417	157.76229	10.9594	331.86084	4.3992393e-05
-12287	6.6823389	0	11.482477	274.436	10.177656	305.43475	0
-12286	4.9793468	0	11.644678	213.29582	11.2188	322.44107	1.4300221e-05
-12285	3.0546053	0	9.4453979	161.59311	9.5940676	324.37036	1.0851527e-05
-12284	5.2702631	0	8.1965881	140.49063	9.1331753	316.48837	0.00034712822
-12283	5.2359246	0	7.5237976	182.42746	8.995336	303.30887	0.00035835732
-12282	5.7864528	0	7.1212097	194.09721	7.6663199	298.81628	6.3543326e-05
-12281	5.7927725	0	6.5538574	161.83739	6.5020114	297.76642	2.6176598e-05
-12280	6.0879825	0	7.4041992	108.87355	8.5730496	313.78326	0.00048489509
-12279	2.8958428	0	7.2297913	190.27402	7.5803808	296.31528	0.00029660567
-12278	4.6541932	0	7.520105	216.23041	7.7930409	292.27527	6.871752e-05
-12277	4.1316604	0	7.3389526	210.27764	8.2540657	290.6889	0.00012985513
-12276	2.898894	0	7.1575256	190.28478	8.2616191	307.92651	0.00011630965
-12275	2.3344465	0	7.7013794	217.43246	8.344532	293.87082	0.00017359768
-12274	1.9499399	0	8.2127319	171.14642	8.2960678	304.43576	5.9814728e-05
-12273	3.0169342	0	8.67547	227.00403	8.5044662	300.52289	0.00016853396
-12272	7.8682648	0	9.7151733	237.85757	9.5908281	299.47223	0.0003972745
-12271	7.8443196	0	10.075494	225.55062	9.5466621	301.42551	0.00010154081
-12270	2.4547063	0	10.257623	242.27777	9.5717561	299.35577	0.0001307423
-12269	3.4213591	0	9.5644165	240.65441	8.9023341	294.68069	0.000146912
-12268	4.4451524	0	11.225793	273.95362	8.9971712	295.11331	0
