Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
-0.9	0	0	6.573	3e-06	5e-10
-2.5	0	0	6.465	3e-06	5e-10
-5	0	0	6.465	3e-06	5e-10
-8	0	0	6.465	3e-06	5e-10
-11	0	0	6.466	3e-06	5e-10
-14	0	0	6.445	3e-06	5e-10
-16	0	0	6.449	3e-06	5e-10
-18	0	0	6.347	3e-06	5e-10
-20	0	0	6.488	3e-06	5e-10
-22	0	0	6.494	3e-06	5e-10
-27	0	0	6.51	3e-06	5e-10
-32	0	0	6.553	3e-06	5e-10
-42	0	0	6.474	3e-06	5e-10
