"",-46.500,-46.000,-45.500,-45.000,-44.500,-44.000,-43.500,-43.000,-42.500,-42.000,-41.500,-41.000,-40.500,-40.000,-39.500,-39.000,-38.500,-38.000,-37.500,-37.000,-36.500,-36.000,-35.500,-35.000,-34.500,-34.000,-33.500,-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
1.0000,NaN,NaN,2.4583E-005,5.9732E-005,1.0026E-004,1.3689E-004,1.7491E-004,2.1351E-004,2.5038E-004,2.6793E-004,1.5834E-004,3.2421E-005,2.1678E-006,1.7164E-007,1.5470E-007,1.5172E-007,6.8942E-007,3.1665E-007,3.9080E-007,5.7570E-007,2.0442E-007,1.5114E-007,9.2094E-007,1.8977E-006,3.4382E-007,6.4534E-007,2.0234E-007,1.5034E-007,1.5229E-007,1.5147E-007,1.5728E-007,5.8033E-007,1.8574E-004,7.1219E-004,8.3698E-004,9.5997E-004,2.2001E-004,1.2117E-004,9.8556E-005,8.4706E-005,7.6711E-005,7.4022E-005,7.4869E-005,7.8279E-005,8.4025E-005,9.3275E-005,1.0830E-004,1.4804E-004,7.3090E-004,2.8662E-004,2.0656E-004,2.7419E-005,9.1189E-007,6.6534E-007,6.0249E-007,8.5202E-007,1.4527E-005,2.8931E-004,2.3621E-003,2.3849E-003,3.4762E-004,1.2175E-004,5.0263E-005,2.4667E-005,2.0671E-005,1.9383E-005,1.6540E-005,1.3602E-005,1.1228E-005,1.0113E-005,1.2747E-005,1.6898E-005,2.2180E-005,2.8543E-005,3.8216E-005,5.2169E-005,7.7384E-005,1.4101E-004,2.8058E-004,5.5820E-004,1.0003E-003,1.5796E-003,2.2298E-003,2.8824E-003,3.4759E-003,3.9645E-003,4.3150E-003,4.5042E-003,4.5211E-003,4.3353E-003,3.8963E-003,3.1583E-003,2.2039E-003,1.3984E-003
2.0000,NaN,NaN,3.8606E-007,1.1211E-006,2.8419E-006,5.2505E-006,1.2792E-005,8.9179E-005,5.3892E-004,1.3065E-003,1.8233E-003,2.0819E-003,2.2018E-003,2.2707E-003,2.3235E-003,2.1983E-003,1.2435E-003,8.8850E-004,8.4507E-004,1.3177E-003,1.5665E-003,1.4827E-003,1.2053E-003,4.9690E-004,2.4716E-004,1.7730E-004,1.5440E-004,1.6269E-004,1.8384E-004,2.2634E-004,3.4682E-004,5.1652E-004,7.0817E-004,9.1008E-004,1.0883E-003,1.2286E-003,1.3282E-003,1.3917E-003,1.4364E-003,1.4652E-003,1.5037E-003,1.5236E-003,1.5209E-003,1.5212E-003,1.5288E-003,1.5305E-003,1.5324E-003,1.5303E-003,1.5183E-003,1.5158E-003,1.5185E-003,1.5312E-003,1.5588E-003,1.5829E-003,1.6113E-003,1.6398E-003,1.6755E-003,1.7098E-003,1.7512E-003,1.7953E-003,1.8552E-003,1.9027E-003,1.9393E-003,1.9874E-003,2.0401E-003,2.1032E-003,2.1748E-003,2.2517E-003,2.3361E-003,2.4251E-003,2.5218E-003,2.6248E-003,2.7378E-003,2.8616E-003,3.0030E-003,3.1627E-003,3.3305E-003,3.5023E-003,3.6674E-003,3.8232E-003,3.9866E-003,4.1635E-003,4.3435E-003,4.5165E-003,4.6623E-003,4.7601E-003,4.7834E-003,4.7066E-003,4.5181E-003,4.1838E-003,3.6484E-003,2.8679E-003,1.9346E-003,1.2002E-003
3.0000,NaN,NaN,1.2703E-006,5.3226E-006,8.7615E-005,1.2775E-003,1.7313E-003,1.4243E-003,1.1740E-003,1.0828E-003,1.0779E-003,1.1425E-003,1.2457E-003,1.3631E-003,1.4761E-003,1.5671E-003,1.6282E-003,1.6650E-003,1.6791E-003,1.6807E-003,1.6787E-003,1.6585E-003,1.6230E-003,1.6026E-003,1.6213E-003,1.6304E-003,1.6486E-003,1.6608E-003,1.6672E-003,1.6774E-003,1.7053E-003,1.7283E-003,1.7460E-003,1.7624E-003,1.7620E-003,1.7651E-003,1.7670E-003,1.7684E-003,1.7796E-003,1.7885E-003,1.8194E-003,1.8320E-003,1.8227E-003,1.8217E-003,1.8339E-003,1.8425E-003,1.8524E-003,1.8584E-003,1.8521E-003,1.8527E-003,1.8546E-003,1.8617E-003,1.8800E-003,1.8927E-003,1.9075E-003,1.9209E-003,1.9400E-003,1.9580E-003,1.9823E-003,2.0103E-003,2.0566E-003,2.1048E-003,2.1524E-003,2.2124E-003,2.2796E-003,2.3562E-003,2.4420E-003,2.5350E-003,2.6370E-003,2.7463E-003,2.8648E-003,2.9920E-003,3.1306E-003,3.2824E-003,3.4546E-003,3.6498E-003,3.8544E-003,4.0591E-003,4.2523E-003,4.4288E-003,4.6102E-003,4.8072E-003,5.0067E-003,5.1961E-003,5.3522E-003,5.4500E-003,5.4601E-003,5.3535E-003,5.1188E-003,4.7215E-003,4.1008E-003,3.2097E-003,2.1544E-003,1.3370E-003
4.0000,NaN,NaN,2.7193E-004,1.9974E-003,2.0718E-003,1.3173E-003,9.2895E-004,8.0192E-004,8.1312E-004,8.9414E-004,1.0043E-003,1.1421E-003,1.2831E-003,1.4161E-003,1.5379E-003,1.6424E-003,1.7265E-003,1.7936E-003,1.8412E-003,1.8744E-003,1.9004E-003,1.9037E-003,1.8808E-003,1.8612E-003,1.8764E-003,1.8800E-003,1.8887E-003,1.8894E-003,1.8813E-003,1.8739E-003,1.8850E-003,1.8976E-003,1.9113E-003,1.9296E-003,1.9370E-003,1.9451E-003,1.9488E-003,1.9483E-003,1.9547E-003,1.9600E-003,1.9895E-003,2.0114E-003,2.0158E-003,2.0227E-003,2.0395E-003,2.0550E-003,2.0739E-003,2.0932E-003,2.1035E-003,2.1167E-003,2.1277E-003,2.1389E-003,2.1580E-003,2.1744E-003,2.1926E-003,2.2098E-003,2.2314E-003,2.2525E-003,2.2782E-003,2.3074E-003,2.3560E-003,2.4153E-003,2.4775E-003,2.5479E-003,2.6218E-003,2.6998E-003,2.7829E-003,2.8705E-003,2.9649E-003,3.0653E-003,3.1738E-003,3.2906E-003,3.4184E-003,3.5600E-003,3.7232E-003,3.9116E-003,4.1099E-003,4.3072E-003,4.4915E-003,4.6572E-003,4.8283E-003,5.0168E-003,5.2090E-003,5.3913E-003,5.5397E-003,5.6280E-003,5.6262E-003,5.5044E-003,5.2519E-003,4.8336E-003,4.1884E-003,3.2696E-003,2.1887E-003,1.3573E-003
5.0000,NaN,NaN,3.9842E-004,1.4921E-003,1.2054E-003,7.5297E-004,5.8021E-004,5.5029E-004,6.0753E-004,7.0645E-004,8.2165E-004,9.5504E-004,1.0863E-003,1.2067E-003,1.3148E-003,1.4072E-003,1.4821E-003,1.5426E-003,1.5868E-003,1.6187E-003,1.6448E-003,1.6522E-003,1.6362E-003,1.6217E-003,1.6376E-003,1.6455E-003,1.6587E-003,1.6659E-003,1.6651E-003,1.6635E-003,1.6775E-003,1.6935E-003,1.7110E-003,1.7328E-003,1.7450E-003,1.7561E-003,1.7616E-003,1.7622E-003,1.7682E-003,1.7741E-003,1.8022E-003,1.8267E-003,1.8368E-003,1.8481E-003,1.8678E-003,1.8876E-003,1.9113E-003,1.9364E-003,1.9541E-003,1.9731E-003,1.9894E-003,2.0046E-003,2.0263E-003,2.0460E-003,2.0671E-003,2.0870E-003,2.1104E-003,2.1330E-003,2.1593E-003,2.1883E-003,2.2348E-003,2.2905E-003,2.3475E-003,2.4108E-003,2.4763E-003,2.5451E-003,2.6183E-003,2.6955E-003,2.7789E-003,2.8679E-003,2.9646E-003,3.0688E-003,3.1835E-003,3.3109E-003,3.4584E-003,3.6287E-003,3.8079E-003,3.9871E-003,4.1551E-003,4.3075E-003,4.4660E-003,4.6406E-003,4.8187E-003,4.9878E-003,5.1257E-003,5.2084E-003,5.2081E-003,5.0973E-003,4.8660E-003,4.4807E-003,3.8848E-003,3.0356E-003,2.0366E-003,1.2632E-003
6.0000,NaN,NaN,8.2312E-004,8.8318E-004,5.9442E-004,4.4709E-004,4.4627E-004,5.0791E-004,6.0938E-004,7.2039E-004,8.2466E-004,9.2866E-004,1.0205E-003,1.0995E-003,1.1685E-003,1.2258E-003,1.2703E-003,1.3062E-003,1.3326E-003,1.3539E-003,1.3751E-003,1.3832E-003,1.3768E-003,1.3792E-003,1.4100E-003,1.4294E-003,1.4523E-003,1.4672E-003,1.4744E-003,1.4828E-003,1.5061E-003,1.5272E-003,1.5460E-003,1.5651E-003,1.5712E-003,1.5794E-003,1.5862E-003,1.5929E-003,1.6086E-003,1.6243E-003,1.6612E-003,1.6856E-003,1.6920E-003,1.7046E-003,1.7293E-003,1.7524E-003,1.7783E-003,1.8027E-003,1.8174E-003,1.8380E-003,1.8600E-003,1.8867E-003,1.9243E-003,1.9593E-003,1.9973E-003,2.0354E-003,2.0796E-003,2.1243E-003,2.1754E-003,2.2312E-003,2.3068E-003,2.3894E-003,2.4728E-003,2.5656E-003,2.6624E-003,2.7646E-003,2.8724E-003,2.9846E-003,3.1031E-003,3.2268E-003,3.3579E-003,3.4961E-003,3.6447E-003,3.8062E-003,3.9888E-003,4.1955E-003,4.4110E-003,4.6257E-003,4.8267E-003,5.0093E-003,5.1975E-003,5.4024E-003,5.6102E-003,5.8072E-003,5.9682E-003,6.0661E-003,6.0685E-003,5.9438E-003,5.6793E-003,5.2355E-003,4.5458E-003,3.5596E-003,2.3955E-003,1.4866E-003
7.0000,NaN,NaN,6.1581E-004,3.1819E-004,1.7910E-004,2.0679E-004,3.3543E-004,5.2068E-004,7.2785E-004,9.0813E-004,1.0585E-003,1.1987E-003,1.3164E-003,1.4150E-003,1.5011E-003,1.5737E-003,1.6318E-003,1.6795E-003,1.7148E-003,1.7425E-003,1.7683E-003,1.7749E-003,1.7598E-003,1.7513E-003,1.7760E-003,1.7856E-003,1.7993E-003,1.8034E-003,1.7981E-003,1.7938E-003,1.8071E-003,1.8191E-003,1.8298E-003,1.8430E-003,1.8435E-003,1.8463E-003,1.8465E-003,1.8444E-003,1.8502E-003,1.8543E-003,1.8810E-003,1.8949E-003,1.8892E-003,1.8880E-003,1.8974E-003,1.9033E-003,1.9105E-003,1.9149E-003,1.9078E-003,1.9046E-003,1.9001E-003,1.8973E-003,1.9026E-003,1.9017E-003,1.9009E-003,1.8964E-003,1.8945E-003,1.8884E-003,1.8843E-003,1.8789E-003,1.8853E-003,1.8849E-003,1.8747E-003,1.8692E-003,1.8634E-003,1.8617E-003,1.8639E-003,1.8684E-003,1.8778E-003,1.8903E-003,1.9093E-003,1.9338E-003,1.9677E-003,2.0116E-003,2.0716E-003,2.1484E-003,2.2357E-003,2.3318E-003,2.4286E-003,2.5238E-003,2.6286E-003,2.7474E-003,2.8722E-003,2.9951E-003,3.1013E-003,3.1751E-003,3.1981E-003,3.1518E-003,3.0290E-003,2.8078E-003,2.4495E-003,1.9223E-003,1.2879E-003,7.9922E-004
8.0000,NaN,NaN,1.1099E-004,6.6208E-005,3.0877E-005,6.6106E-005,2.6292E-004,9.3209E-004,2.2148E-003,3.8559E-003,5.4544E-003,6.5398E-003,6.9953E-003,6.9963E-003,6.7504E-003,6.3825E-003,5.9492E-003,5.4914E-003,5.0268E-003,4.5812E-003,4.1818E-003,3.7981E-003,3.4065E-003,3.0440E-003,2.7623E-003,2.4703E-003,2.1728E-003,1.8337E-003,1.4411E-003,1.0124E-003,6.4624E-004,4.0994E-004,2.5059E-004,1.4806E-004,9.0744E-005,6.2937E-005,4.9921E-005,4.0503E-005,3.1260E-005,3.4189E-005,1.7338E-004,1.9300E-003,3.2775E-003,3.4409E-003,2.9197E-003,8.4465E-004,5.4976E-004,4.7126E-004,4.3670E-004,4.2426E-004,4.1096E-004,3.6776E-004,3.0594E-004,2.5571E-004,2.2881E-004,2.1369E-004,1.8926E-004,1.8119E-004,2.0545E-004,2.5526E-004,2.9035E-004,2.8518E-004,2.2167E-004,2.7944E-004,5.4703E-004,1.2049E-003,1.9785E-003,2.3392E-003,2.3434E-003,1.9365E-003,1.5518E-003,1.4666E-003,1.5043E-003,1.5971E-003,1.7277E-003,1.8908E-003,2.0720E-003,2.2581E-003,2.4391E-003,2.6051E-003,2.7690E-003,2.9399E-003,3.1049E-003,3.2510E-003,3.3608E-003,3.4135E-003,3.3918E-003,3.2788E-003,3.0769E-003,2.7768E-003,2.3534E-003,1.7948E-003,1.1775E-003,7.3614E-004
