par_id,rmse,nse,r,re,mae,nmae
p0001,1.86100127910446,0.745697170688106,0.965502995233889,-0.174112548328151,1.60936193994581,0.175582502640572
p0002,1.81239584566395,0.758807407933652,0.92175571934094,-0.104267536237383,1.45298767904591,0.163136197005849
p0003,1.40453006593572,0.855149523086577,0.968199747414601,-0.124958472257214,1.25732893082004,0.144186189261695
p0004,1.5409988394444,0.825633732106534,0.944389007462811,-0.0975735801843653,1.30427139596006,0.147768392945786
p0005,1.53887508213472,0.826114013402616,0.945472755213998,-0.0885325243574032,1.2201204957776,0.141250499100614
p0006,3.34477668226098,0.178529252929304,0.857371915786825,-0.268558406539111,2.74820355849932,0.26862579046327
p0007,1.81369947702817,0.758460310129586,0.922315772734223,-0.0969351422739026,1.41640399092654,0.160301975823603
p0008,1.71740965371947,0.783426333829182,0.93064452009612,-0.107919358825192,1.428217522815,0.16023942655057
p0009,1.5490785429371,0.823800478164744,0.944450573676151,-0.0923183804880318,1.25125725435438,0.143932685153794
p0010,1.74722496823848,0.775841349553505,0.926863714835722,-0.085979661260944,1.36730439784287,0.154203700220976
p0011,1.58927888170302,0.814536661210747,0.948229395512754,-0.121099113874826,1.35212178024821,0.154276211441495
p0012,1.69540069895222,0.788941637406463,0.930358932956426,-0.0753318716050992,1.32763331857266,0.148882020990932
p0013,2.49833427665813,0.541690413314294,0.946317261541727,-0.222724898685405,2.16876107584984,0.222731586435736
p0014,1.85899071771727,0.746246353823239,0.977250272940526,-0.17547215313403,1.66296521525795,0.175486487480686
p0015,1.82358709299306,0.755819562139433,0.92448034155338,-0.0678615538246502,1.32730919920757,0.150293117758347
p0016,1.65997803952833,0.79766895058078,0.932368072248592,-0.0742444375577799,1.32526710064231,0.147922543746956
p0017,2.60084256921619,0.503309357044924,0.939656023734149,-0.227032378869177,2.24264737062387,0.227039257374366
p0018,2.26033726080669,0.624850529903969,0.95082977386652,-0.199823915206465,1.93491311739395,0.199844625860528
p0019,1.52824703362558,0.828507563073013,0.988193994715777,-0.154789579060797,1.40938025759678,0.15490561447544
p0020,1.72559619069893,0.781356688933974,0.931615861295572,-0.0696059881853639,1.28258213791518,0.146005857198909
p0021,2.08457612586755,0.680924566474983,0.975023091897626,-0.196042397831645,1.87779074948459,0.196053198411833
p0022,1.79122026947156,0.764410549633094,0.981339148842289,-0.174889965782353,1.62576055150106,0.174955639312703
p0023,2.72085735438148,0.456412581516391,0.930167423423302,-0.237350475577548,2.33533325697728,0.237356960412589
p0024,3.26791793126372,0.215848222011289,0.860927528951475,-0.261533208577811,2.67244418331889,0.261639646625669
p0025,1.77775456225577,0.767939377720604,0.925980265504608,-0.093664251317399,1.37425360722275,0.156452857628588
p0026,1.5520140355895,0.823132051789726,0.943106205761328,-0.0966351025036915,1.31502493875808,0.148600525723362
p0027,1.58329800504492,0.815929929815067,0.947004621898788,-0.118408343337782,1.37235702552862,0.155299538092804
p0028,1.8209501081362,0.756525242242031,0.980044522660848,-0.174656630557636,1.64357716016432,0.174665956650893
p0029,1.9550322170795,0.719349586840593,0.971196577646121,-0.18140504549851,1.72549889934067,0.181416408329026
p0030,1.43390890380688,0.849026413641957,0.982754258558117,-0.143844005312593,1.30736466799982,0.147817909648118
p0031,2.77057062515947,0.436367146823856,0.926577055207092,-0.239604442148214,2.37217639472281,0.23961102052472
p0032,2.09159768777183,0.678771437012378,0.971314415655385,-0.194676740810258,1.86603121212893,0.194684733755421
p0033,2.01672493281261,0.701357794773625,0.977590666125511,-0.191831292777087,1.82527026449205,0.191840973573159
p0034,1.97218944747072,0.714402033936614,0.972714219427341,-0.186697011718878,1.75705262347799,0.186753492607628
p0035,1.6335660410954,0.804056328196888,0.935781658147845,-0.0929909508160028,1.34659509577333,0.151646691870624
p0036,1.59616671347321,0.812925605450072,0.941283362817112,-0.105264956315328,1.35454822715984,0.153018935334569
p0037,1.60299394263771,0.81132184913442,0.962410994882591,-0.144631482371027,1.40783336660667,0.15901508213679
p0038,1.5912714257698,0.814071323709925,0.982903311955147,-0.15640111240114,1.43366320190356,0.156675555924791
