par_id,rmse,nse,r,re,mae,nmae
p0001,1.62545713680749,0.806082546162392,0.948222220637479,-0.114576076195297,1.18589679735365,0.118755038323509
p0002,0.949370410013499,0.933848874174616,0.984941776817573,-0.0826628609847012,0.767339662485077,0.0883982487645514
p0003,0.948964683105622,0.933905403336205,0.978109856311909,-0.0630704945588517,0.702416238046163,0.0756132067243069
p0004,0.823063989102112,0.950279778086811,0.990137672566959,-0.0782486696803551,0.692708609394029,0.0864988736672338
p0005,1.08242891649488,0.914006697454706,0.986805507492689,-0.107112887972699,0.946471930325419,0.111491136463508
p0006,0.902836340993332,0.940174832832059,0.987486514977223,-0.0829302538874621,0.762457496001409,0.0905620838125203
p0007,0.824836043753016,0.950065452594086,0.988541168290517,-0.073370477575479,0.685085124457886,0.0823874880374124
p0008,1.48078296295272,0.839065677930615,0.966092890151893,-0.118951225211728,1.15076182438398,0.120287396951872
p0009,0.907975706245695,0.939491788776771,0.988303456033537,-0.0847580620460602,0.747780095310147,0.0883279919687752
p0010,1.38428924723928,0.859356538160514,0.969452570113356,-0.110536999860884,1.07597004226294,0.112734628935585
p0011,1.20768927861766,0.892952561791848,0.979525398048578,-0.105024488461945,0.967795096978541,0.105985753558665
p0012,0.776973446343854,0.955692401639388,0.990022149675026,-0.0696594647322613,0.651626043662663,0.0787517549533753
p0013,0.767626292825186,0.956752048582623,0.991556806721618,-0.0727174736180008,0.637751284007721,0.0804229837291609
p0014,1.15891125441996,0.901425128943545,0.968282146927458,-0.0768249981455289,0.822831978915891,0.0857150789353038
p0015,0.688605811519746,0.965197757878605,0.988781970518432,-0.0444417970126214,0.543615316319673,0.0642946462346078
p0016,1.16498415423597,0.900389322635777,0.981381295642838,-0.104755901332235,0.963539284704811,0.107496737963516
p0017,0.705799506214918,0.963438116775676,0.989981624291823,-0.0460250180693185,0.568396440439607,0.0704579116949893
p0018,1.20472957912003,0.893476603906285,0.973800084572182,-0.0959756332566303,0.909076046567377,0.0992628338695885
p0019,0.99662454067661,0.927099751163926,0.985628427982858,-0.0940887679917152,0.872288863729505,0.105024226356753
p0020,0.981319803087014,0.929321555508319,0.985890639994245,-0.092376880913557,0.856001408156884,0.104128043745704
p0021,1.00667955098424,0.92562133992627,0.982967616750475,-0.0902442135566935,0.882710181902641,0.10675212126847
p0022,1.07017028116827,0.915943436716137,0.983501239599127,-0.100682756872129,0.945735765954179,0.112200982968089
p0023,0.785118033733271,0.95475862843322,0.986524143544898,-0.0587139707904299,0.623474296706166,0.0716045930982691
p0024,0.701275166441185,0.963905354839115,0.991264087905161,-0.0586569120603117,0.588548174771073,0.0737008500143312
p0025,1.38423639132243,0.859367278252902,0.963399455489322,-0.103457948283392,1.03614065549268,0.107703720729442
p0026,0.843235078900128,0.947812897251546,0.987041843841281,-0.0710120898426662,0.683021401638668,0.0807855124096876
p0027,0.957780445785845,0.932671678257757,0.986630636470617,-0.0883672176601495,0.808780747793992,0.0940263918216057
p0028,0.903382330610063,0.940102452500541,0.984938502442227,-0.0744997430592989,0.711916961009608,0.0806534379569332
p0029,0.956699617844584,0.932823548703796,0.978222751957518,-0.0650087750714445,0.724435938465582,0.0781663437058469
p0030,0.940890961717326,0.935025274978686,0.984468041623581,-0.0818371181415064,0.818701095193503,0.0990886155052421
p0031,0.992872113835055,0.927647676400593,0.987624413938203,-0.0942332687794772,0.828043990147437,0.0959689157015436
p0032,0.736890345154569,0.960146029997126,0.989082540828795,-0.0580338466596053,0.592273380337239,0.0708070432797571
p0033,0.712314227953276,0.962760049491939,0.990045839023894,-0.0449956627925541,0.563635844356269,0.0693846073025876
p0034,0.918177309409557,0.938124464743573,0.983614593806677,-0.0738393244401944,0.732142333775836,0.0830099011048938
p0035,1.3849608189982,0.85922004199337,0.960222977111399,-0.0967148451033411,1.0010314134136,0.101791355204804
p0036,1.04989730884559,0.919097954580677,0.982994416873767,-0.0954462355942877,0.901555288922859,0.10539061226945
p0037,0.747370001881358,0.959004406236806,0.990898169635638,-0.0661642349705886,0.636997934263397,0.0810130977308248
p0038,0.93513500396436,0.93581781700254,0.985627877159751,-0.0815102111634845,0.746689979582445,0.0859284364297246
p0039,0.946541207317317,0.934242558395083,0.983026552462357,-0.0767549298813098,0.736687196321947,0.0833392938338901
p0040,0.924944834792625,0.937208982622432,0.984094739843391,-0.0759258801105972,0.708775745610518,0.0807058369898949
p0041,0.942428009546831,0.93481281500662,0.983041511246618,-0.0761673837008343,0.814772351349027,0.0978030600221826
p0042,0.788873230837754,0.954324817081705,0.9872906855797,-0.0370875072582438,0.61437488793024,0.0741903753980835
p0043,1.25711604448543,0.884011055749696,0.969450532357032,-0.0935540377991172,0.933861195947078,0.0983795967009931
p0044,1.7769332148941,0.768256230090419,0.940216983957568,-0.125175218721899,1.30032186615321,0.128315478922323
p0045,0.991851557394621,0.927796339414789,0.986330650753977,-0.0950730819743,0.876358096742552,0.10535118321579
p0046,1.0508891320402,0.918945028336351,0.987645922481568,-0.10108068411016,0.895732450859406,0.102377723029862
p0047,1.14017190620048,0.904587224710527,0.979474566188129,-0.0968966960013476,0.899278546413293,0.0993641526436156
p0048,1.61234075504867,0.809199494767639,0.948800711797343,-0.112666443803941,1.16922698733824,0.116566074224924
p0049,1.02224076305367,0.923304082574816,0.972391157970855,-0.0602990364390529,0.756618959245665,0.0792128275824845
p0050,0.972839479363575,0.930537848621956,0.98832427048982,-0.0962306832393952,0.857588504082865,0.103390023347009
p0051,0.842593185541134,0.947892319480327,0.986627430036361,-0.0676878018287845,0.715578948040199,0.0884707869384655
p0052,1.38785457399433,0.858631132478267,0.970047693929711,-0.113545685142404,1.08437635150407,0.115038414631679
p0053,0.931433240759012,0.936324945906767,0.984959918839208,-0.0811327923515034,0.794296279098529,0.096895618016262
p0054,0.887674537597233,0.942167311505732,0.986962131935328,-0.0795441791611556,0.763702714654192,0.0939434959586082
p0055,0.807411674513171,0.952152868520347,0.98637943774625,-0.044116339766764,0.638099880316902,0.0787355570045599
p0056,1.16551157057451,0.900299109922124,0.978200691279941,-0.0972647932930788,0.914359964468361,0.100223952504399
p0057,1.27890999479799,0.879954518000938,0.971579406784716,-0.100213515718249,0.979897653466545,0.103567568765963
p0058,1.1390959428096,0.904767218995607,0.978419453974413,-0.0949151778837934,0.885310835047564,0.0975967905249995
p0059,1.03384925849119,0.921552285014115,0.98067902530564,-0.0841538603170839,0.803813095015569,0.0887354425291005
p0060,1.15775512249241,0.901621707774111,0.977567040719501,-0.0963066177656983,0.912113445584104,0.100185697942248
p0061,0.755704691371287,0.958084939877177,0.989246896035422,-0.0615374403463155,0.610094168115713,0.0744230539935426
p0062,0.887513071413235,0.942188348887886,0.982084626810982,-0.0461830339056846,0.688074000788175,0.083275207939952
p0063,0.869317176406877,0.944534570760896,0.987971248444084,-0.0798644641345636,0.74156814045513,0.0915533252177244
p0064,0.913290017183727,0.938781416290584,0.980747248436574,-0.0329898722522444,0.716301190384585,0.0838160721554356
p0065,1.21613548590126,0.891450012214199,0.969029229173899,-0.0868124559685595,0.895759533363993,0.0936689195198938
p0066,0.997475627864591,0.926975188789029,0.98450120260885,-0.0881050661941894,0.804117606747361,0.0916615994437091
p0067,0.851967235197093,0.946726449378722,0.99007779117774,-0.0825298750322723,0.723382783105653,0.0895945935698549
p0068,1.15102910301508,0.902761451798648,0.982064638216365,-0.102192909310677,0.926578625150196,0.102864124012773
p0069,1.19816411514388,0.894634489998061,0.974400882361627,-0.0956841242680285,0.91989368583739,0.09954947649593
p0070,0.835275524636004,0.948793467458688,0.989896806962237,-0.0792769288971644,0.705516597762659,0.0876404152232935
p0071,0.78911372831794,0.95429696358031,0.987828428034395,-0.0647099509138671,0.628061772940917,0.0741522915111871
p0072,0.833223890294701,0.949044709246675,0.989591497435881,-0.0774873022398763,0.682311320530277,0.0835830156222691
p0073,0.902479755003659,0.940222080827401,0.985202857565813,-0.0763044219288932,0.772122434024539,0.0940392953571164
p0074,1.47679926253713,0.839930425510623,0.968194091800993,-0.120828097838029,1.15600988554934,0.121306006832804
p0075,0.77065697452959,0.956409878133279,0.989779753332444,-0.0660679468376899,0.64074946211471,0.0792426394995399
p0076,0.911092825445458,0.939075621117295,0.982247424199662,-0.0615548885710849,0.765317890256953,0.0935271556048778
p0077,0.78374607631609,0.954916604689177,0.987652952336707,-0.0560829154138457,0.651919865660809,0.079749939245913
p0078,0.855499114355353,0.946283836704051,0.984950111531566,-0.0670813586241787,0.67346954294971,0.0770683174291452
p0079,1.45919001180811,0.84372498353955,0.959907065624218,-0.107662221334817,1.08583056792998,0.11156185506753
p0080,0.957737577273501,0.932677705109553,0.983492695928765,-0.0800299055036111,0.764808798558731,0.0865109922217762
p0081,0.878301922297172,0.94338213045832,0.983908579018565,-0.0467704988097899,0.710280760021585,0.086173009021638
p0082,1.27043674870706,0.88153993892571,0.977852624772565,-0.111228402796268,1.01763350349849,0.111877856545475
p0083,0.775824875673659,0.955823301333563,0.990992347733235,-0.0722507837439921,0.662900937670653,0.0812477107512995
p0084,0.820441245614642,0.950596146244758,0.989286324240723,-0.0750095507950808,0.669299580605323,0.0840144284063218
p0085,0.994388327849356,0.927426529350361,0.97938839084597,-0.0755304034003729,0.748637816731136,0.0829247113519484
p0086,0.931486532817296,0.936317659347469,0.981883035850747,-0.0705986702981763,0.715428445249409,0.0789060744097281
p0087,1.0232288902282,0.923155737975277,0.981182695034164,-0.0836792865225641,0.788796926836688,0.0878155677764079
p0088,0.979098741257582,0.929641132355142,0.978389249592299,-0.06930330888464,0.733901275700296,0.0797112672667303
p0089,0.849230124994068,0.947068202776058,0.986698002477677,-0.071058359252562,0.687140276235127,0.0796139569903803
p0090,0.908824688439138,0.939378582201098,0.982255210705115,-0.0678207670101385,0.69610502352131,0.0771731098822871
p0091,0.676283380896926,0.96643216845315,0.991557197484749,-0.0540935745907329,0.557042406679121,0.0699280545726969
p0092,0.864804190608483,0.945108963991736,0.980550381816,-0.052699202909291,0.658191244329819,0.0714152065028248
